playerId,2022,2021,2020,2019,2018,2017,2016,2015,2014
9295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,55.0,74.0,74.0,74.0,74.0,23.0,23.0,105.0,125.0
10692,100.0,16.0,16.0,16.0,0.0,5.0,0.0,0.0,0.0
576,160.0,150.0,150.0,150.0,150.0,125.0,125.0,125.0,125.0
8117,80.0,22.0,22.0,22.0,22.0,50.0,38.0,38.0,0.0
12087,52.5,19.0,19.0,19.0,19.0,1.0,0.0,0.0,0.0
8520,67.5,28.0,28.0,28.0,28.0,35.0,35.0,35.0,35.0
10276,152.5,62.0,62.0,62.0,62.0,3.5,3.5,0.0,0.0
7752,20.0,20.0,96.0,96.0,13.0,13.0,13.0,13.0,13.0
9647,150.0,110.0,110.0,110.0,110.0,1.0,1.0,1.0,0.0
657,60.0,54.0,54.0,54.0,54.0,75.0,75.0,75.0,75.0
12344,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
6315,2.0,2.0,2.0,2.0,2.5,2.5,16.0,16.0,16.0
8182,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0
7915,80.0,32.0,32.0,32.0,32.0,7.0,7.0,7.0,7.0
1601,5.0,5.0,0.0,5.0,3.0,7.0,7.0,7.0,7.0
13748,0.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0
11311,82.5,88.0,88.0,88.0,88.0,20.0,20.0,0.0,0.0
1451,7.5,7.5,7.5,7.5,23.0,23.0,11.0,11.0,11.0
9311,120.0,70.0,70.0,70.0,70.0,12.0,12.0,12.0,12.0
10947,0.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0
2250,0.0,22.0,125.0,125.0,125.0,40.0,40.0,40.0,40.0
14696,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11540,72.0,72.0,72.0,72.0,0.0,0.0,0.0,0.0,0.0
13940,40.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
13136,40.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
12627,20.0,20.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
12305,38.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
8271,140.0,80.0,80.0,80.0,80.0,42.0,42.0,40.0,40.0
11442,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6327,30.0,30.0,84.0,115.0,3.0,16.0,11.0,28.0,28.0
8358,2.0,2.0,2.0,11.0,40.0,40.0,40.0,40.0,40.0
527,20.0,30.0,30.0,64.0,64.0,50.0,50.0,50.0,50.0
9617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9693,90.0,30.0,30.0,30.0,30.0,2.5,0.0,1.0,1.0
10919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8924,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6349,0.0,7.5,7.5,30.0,30.0,125.0,125.0,125.0,125.0
10954,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
9746,7.5,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
2258,100.0,44.0,44.0,44.0,44.0,38.0,38.0,0.0,0.0
13135,34.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
6293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1413,150.0,170.0,170.0,170.0,170.0,125.0,125.0,125.0,125.0
7910,65.0,60.0,60.0,60.0,60.0,1.0,1.0,1.0,1.0
1643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10808,70.0,26.0,26.0,26.0,26.0,26.0,0.0,0.0,0.0
8281,5.0,10.0,10.0,10.0,10.0,85.0,1.0,1.0,1.0
9715,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0
10945,87.5,32.0,32.0,32.0,32.0,0.0,0.0,0.0,0.0
8642,0.0,15.0,15.0,0.0,0.0,3.0,3.0,0.0,0.0
1858,0.0,10.0,42.0,42.0,42.0,26.0,26.0,26.0,26.0
1920,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14606,24.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
13172,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13088,77.5,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
8298,0.0,5.0,5.0,7.5,13.0,13.0,13.0,13.0,13.0
11195,44.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
6692,80.0,70.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0
