playerId,match,inning,balls,runs,wicket,best bowling in match,eco,average,5w,10w
1905,,,,,,,,,,
11716,,,,,,,,,,
9398,5,4,143,133,5,23 / 2,5.58,26.6,0,0
10638,,,,,,,,,,
11680,,,,,,,,,,
14431,7,7,385,347,10,76 / 5,5.41,34.7,1,0
11641,,,,,,,,,,
15798,,,,,,,,,,
11613,,,,,,,,,,
13908,,,,,,,,,,
13100,,,,,,,,,,
10570,,,,,,,,,,
19896,,,,,,,,,,
15485,,,,,,,,,,
15564,,,,,,,,,,
22141,,,,,,,,,,
13613,,,,,,,,,,
8508,16,16,834,743,16,31 / 2,5.35,46.44,0,0
8755,,,,,,,,,,
10625,,,,,,,,,,
11729,,,,,,,,,,
10806,,,,,,,,,,
15616,,,,,,,,,,
13509,,,,,,,,,,
11757,2,2,66,39,0,15 / 0,3.55,0,0,0
24266,,,,,,,,,,
12821,,,,,,,,,,
9954,,,,,,,,,,
8422,39,20,480,465,13,43 / 5,5.81,35.77,1,0
8837,1,1,60,60,2,60 / 2,6,30,0,0
11214,20,20,928,938,25,44 / 3,6.06,37.52,0,0
8030,72,67,2439,2196,61,43 / 6,5.4,36,1,0
9576,,,,,,,,,,
11144,,,,,,,,,,
10665,,,,,,,,,,
7716,,,,,,,,,,
11315,,,,,,,,,,
12625,,,,,,,,,,
13126,,,,,,,,,,
9028,,,,,,,,,,
9885,15,15,678,529,26,26 / 5,4.68,20.35,2,0
14179,,,,,,,,,,
10381,,,,,,,,,,
12624,,,,,,,,,,
14523,,,,,,,,,,
15749,,,,,,,,,,
8198,,,,,,,,,,
14168,,,,,,,,,,
10974,,,,,,,,,,
8647,,,,,,,,,,
10322,,,,,,,,,,
14656,,,,,,,,,,
551,42,2,9,12,1,006 / 1,8,12,0,0
12253,,,,,,,,,,
1855,,,,,,,,,,
14467,,,,,,,,,,
2257,,,,,,,,,,
15817,3,3,152,151,3,39 / 1,5.96,50.33,0,0
11128,19,17,941,867,30,39 / 4,5.53,28.9,0,0
13791,10,10,432,387,13,46 / 4,5.38,29.77,0,0
24301,,,,,,,,,,
14383,,,,,,,,,,
15620,,,,,,,,,,
14451,,,,,,,,,,
8676,9,8,270,246,10,33 / 3,5.47,24.6,0,0
8483,39,37,1935,1661,56,29 / 6,5.15,29.66,2,0
8116,,,,,,,,,,
9494,84,2,20,28,0,13 / 0,8.4,0,0,0
7884,,,,,,,,,,
8540,,,,,,,,,,
