playerId,Player name,Mat,Inn,Runs,Avg,SR,HS,NO,100s,50s,4s,6s
8983.0,James Neesham,66,56,1320,28.7,97.63,97,10,0,6,117,30
8257.0,Karun Nair,2,2,46,23.0,52.27,39,0,0,0,6,0
7909.0,Mohammed Shami,82,39,184,8.36,82.88,25,17,0,0,14,8
6319.0,Mandeep Singh,0,0,0,0,0,0,0,0,0,0,0
6532.0,Chris Jordan,34,23,170,12.14,88.08,38,9,0,0,12,5
14452.0,Harpreet Brar,0,0,0,0,0,0,0,0,0,0,0
247.0,Chris Gayle,301,294,10480,37.7,87.2,215,16,25,54,1128,331
8796.0,Murugan Ashwin,0,0,0,0,0,0,0,0,0,0,0
2195.0,Mayank Agarwal,5,5,86,17.2,103.61,32,0,0,0,12,1
624.0,Eoin Morgan,248,230,7701,39.09,91.17,148,33,14,47,654,220
8095.0,Pat Cummins,73,47,324,10.12,73.97,36,15,0,0,23,5
10162.0,Chris Green,0,0,0,0,0,0,0,0,0,0,0
8292.0,Kuldeep Yadav,66,22,123,12.3,62.76,19,12,0,0,10,0
12092.0,Kamlesh Nagarkoti,0,0,0,0,0,0,0,0,0,0,0
2276.0,Sunil Narine,65,45,363,11.0,82.5,36,12,0,0,36,12
9204.0,Nitish Rana,1,1,7,7.0,50.0,7,0,0,0,0,0
8944.0,Sandeep Warrier,0,0,0,0,0,0,0,0,0,0,0
11808.0,Shubman Gill,3,3,49,16.33,69.01,33,0,0,0,5,1
10896.0,Rinku Singh,0,0,0,0,0,0,0,0,0,0,0
12926.0,Varun Chakravarthy,0,0,0,0,0,0,0,0,0,0,0
6496.0,Harry Gurney,10,6,15,7.5,45.45,6,4,0,0,1,0
9237.0,Pravin Tambe,0,0,0,0,0,0,0,0,0,0,0
11450.0,Ali Khan,7,4,4,1.0,21.05,3,0,0,0,0,0
9012.0,Rahul Tripathi,0,0,0,0,0,0,0,0,0,0,0
12345.0,Shivam Mavi,0,0,0,0,0,0,0,0,0,0,0
7736.0,Andre Russell,56,47,1034,27.21,130.23,92,9,0,4,94,57
10551.0,Prasidh Krishna,10,5,2,1.0,16.67,2,3,0,0,0,0
9295.0,Nikhil Naik,0,0,0,0,0,0,0,0,0,0,0
9218.0,"
Siddhesh Lad",0,0,0,0,0,0,0,0,0,0,0
145.0,Dinesh Karthik,94,79,1752,30.21,73.24,79,21,0,9,176,15
10692.0,Lockie Ferguson,39,17,71,7.1,48.97,19,7,0,0,4,1
12254.0,Tom Banton,6,5,134,26.8,92.41,58,0,0,1,17,2
576.0,Rohit Sharma,233,226,9376,48.58,89.18,264,33,29,45,855,250
8117.0,"
Trent Boult",93,40,159,9.35,74.65,21,23,0,0,15,6
12087.0,Rahul Chahar,1,1,13,13.0,52.0,13,0,0,0,0,0
8520.0,Quinton de Kock,130,130,5677,45.78,95.94,178,6,17,28,649,88
10276.0,Ishan Kishan,3,3,88,29.33,107.32,59,0,0,1,10,3
7752.0,Chris Lynn,4,4,75,18.75,84.27,44,0,0,0,5,3
3651.0,Mohsin Khan,75,75,1877,26.81,55.65,117,5,2,8,151,7
9647.0,Hardik Pandya,66,48,1386,33.8,115.6,92,7,0,8,105,54
657.0,Kieron Pollard,123,113,2706,26.02,94.42,119,9,3,13,171,135
12344.0,Anukul Roy,0,0,0,0,0,0,0,0,0,0,0
6315.0,Aditya Tare,0,0,0,0,0,0,0,0,0,0,0
8182.0,Jayant Yadav,2,2,3,3.0,42.86,2,1,0,0,0,0
7915.0,Suryakumar Yadav,10,9,310,44.29,98.1,64,2,0,2,35,2
1601.0,Saurabh Tiwary,3,2,49,0.0,87.5,37,2,0,0,5,1
13748.0,Sherfane Rutherford,0,0,0,0,0,0,0,0,0,0,0
2283.0,James Pattinson,15,8,42,10.5,52.5,13,4,0,0,2,0
11311.0,Krunal Pandya,5,4,130,65.0,101.56,58,2,0,1,11,2
1451.0,Dhawal Kulkarni,12,2,27,0.0,96.43,25,2,0,0,2,1
9311.0,Jasprit Bumrah,72,20,47,6.71,50.54,14,13,0,0,5,1
10947.0,Anmolpreet Singh,0,0,0,0,0,0,0,0,0,0,0
2250.0,Steven Smith,130,115,4459,43.29,88.44,164,12,11,26,385,42
14696.0,Akash Singh,0,0,0,0,0,0,0,0,0,0,0
