playerId,Player name,Mat,Inn_bat,Runs_bat,Avg_bat,SR,HS,NO,100s,50s,4s,6s,Inn_bowl,Balls,Runs_bowl,Wkt,BBI,BBM,Eco,Avg_bowl,5W,10W
10484,Praveen Dubey,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
10484,Praveen Dubey,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
10484,Praveen Dubey,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
10484,Praveen Dubey,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
10484,Praveen Dubey,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
10484,Praveen Dubey,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
10484,Praveen Dubey,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
10484,Praveen Dubey,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
10484,Praveen Dubey,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
10484,Praveen Dubey,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
10484,Praveen Dubey,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
10484,Praveen Dubey,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
10484,Praveen Dubey,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
13252,Lalit Yadav,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
11427,Anrich Nortje,13,3,19,9.5,70.37,10,1,0,0,1,0,13,670,620,26,51 / 4,51 / 4,5.55,23.85,0,0
8175,Harshal Patel,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
11214,Keemo Paul,22,16,266,24.18,93.99,46,5,0,0,22,10,21,940,954,25,44 / 3,44 / 3,6.09,38.16,0,0
1447,Ajinkya Rahane,90,87,2962,35.26,78.63,111,3,3,24,293,33,0,0,0,0,0,0,0.0,0.0,0,0
8181,Mohit Sharma,26,9,31,7.75,46.97,11,5,0,0,5,0,25,1121,1020,31,22 / 4,22 / 4,5.46,32.9,0,0
8989,Marcus Stoinis,49,46,1244,31.9,93.96,146,7,1,6,107,42,45,1518,1541,34,16 / 3,16 / 3,6.09,45.32,0,0
6534,Jason Roy,105,100,3940,40.62,106.66,180,3,10,21,468,76,0,0,0,0,0,0,0.0,0.0,0,0
6670,Chris Woakes,106,72,1315,25.78,90.88,95,21,0,5,97,19,102,5016,4567,155,45 / 6,45 / 6,5.46,29.46,3,0
702,Ishant Sharma,80,28,72,4.8,35.47,13,13,0,0,6,0,78,3733,3562,115,34 / 4,34 / 4,5.73,30.97,0,0
1454,Amit Mishra,36,11,43,5.38,52.44,14,3,0,0,4,0,34,1917,1512,64,48 / 6,48 / 6,4.73,23.62,2,0
12094,Prithvi Shaw,6,6,189,31.5,113.86,49,0,0,0,32,2,0,0,0,0,0,0,0.0,0.0,0,0
13162,Daniel Sams,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
9585,Kagiso Rabada,85,35,315,15.75,82.68,31,15,0,0,26,7,83,4363,3655,132,16 / 6,16 / 6,5.03,27.69,2,0
