Player Id,Player name
10214,Jitesh Sharma
11215,Odean Smith
22601,"Raj Bawa	"
8616,Rishi Dhawan
9554,Rassie van der Dussen
14336,Kuldeep Sen
11221,Obed McCoy
12639,Tejas Baroka
10353,KC Cariappa
10713,Daryl Mitchell
12669,Suyash Prabhudessai
11172,Finn Allen 
14726,Akash Deep
6592,David Willey
9582,Aiden Markram
19027,Umran Malik
13646,Romario Shepherd
8136,Sean Abbott
