playerId,basePrice,playerName,country,role,cappedStatus,countryId,isPlayerOverseas,
7678,50.0 L,Hamish Bennett,New Zealand,Allrounder,CAPPED,13,TRUE,
8509,50.0 L,Jack Wildermuth,Australia,Allrounder,CAPPED,4,TRUE,
16362,20.0 L,Lakhan Raja,India,Allrounder,UNCAPPED,2,,
11024,20.0 L,Girinath Reddy,India,Allrounder,UNCAPPED,2,,
16864,20.0 L,Siddhant Sharma,India,Allrounder,UNCAPPED,2,,
11050,1.0 Cr,D Arcy Short,Australia,Allrounder,CAPPED,4,TRUE,
11629,20.0 L,R Silambarasan,India,Bowler,UNCAPPED,2,,
19308,20.0 L,Lone Nasir Muzaffar,India,Allrounder,UNCAPPED,2,,
14720,20.0 L,Shafiqullah Ghafari,Afghanistan,Allrounder,UNCAPPED,96,TRUE,
15528,20.0 L,Abid Mushtaq,India,Allrounder,UNCAPPED,2,,
8797,20.0 L,M Mohammed,India,Allrounder,UNCAPPED,2,,
10645,20.0 L,Pulkit Narang,India,Allrounder,UNCAPPED,2,,
10885,20.0 L,Akshay Karnewar,India,Allrounder,UNCAPPED,2,,
11375,20.0 L,Jake Weatherald ,Australia,Allrounder,UNCAPPED,4,TRUE,
14940,20.0 L,Mohit Avasthi,India,Bowler,UNCAPPED,2,,
12929,20.0 L,Pradosh Paul,India,Allrounder,UNCAPPED,2,,
23886,20.0 L,Pushpendra Singh Rathore,India,Allrounder,UNCAPPED,2,,
13082,20.0 L,KL Shrijith,India,WK-Batter,UNCAPPED,2,,
14690,20.0 L,Shashwat Rawat,India,Allrounder,UNCAPPED,2,,
11839,20.0 L,Jason Sangha,Australia,Allrounder,UNCAPPED,4,TRUE,
24276,20.0 L,Pukhraj Mann,India,Allrounder,UNCAPPED,2,,
14707,20.0 L,Purnank Tyagi ,India,Allrounder,UNCAPPED,2,,
16235,20.0 L,Henan Nazir Malik,India,Allrounder,UNCAPPED,2,,
13476,20.0 L,Urvil Patel,India,WK-Batter,UNCAPPED,2,,
10839,20.0 L,Samarth Vyas,India,Allrounder,UNCAPPED,2,,
16487,20.0 L,Bhupen Lalwani,India,Allrounder,UNCAPPED,2,,
8261,20.0 L,Rahul Shukla,India,Allrounder,UNCAPPED,2,,
14321,20.0 L,Abhijeet Saket,India,Allrounder,UNCAPPED,2,,
18787,20.0 L,Anuj Raj,India,Allrounder,UNCAPPED,2,,
14596,20.0 L,Manav Suthar,India,Bowler,UNCAPPED,2,,
19302,20.0 L,Vivrant Sharma,India,Allrounder,UNCAPPED,2,,
14190,20.0 L,Kumar Kartikeya,India,Allrounder,UNCAPPED,2,,
15137,20.0 L,Tanveer Sangha,Australia,Bowler,UNCAPPED,4,TRUE,
10489,20.0 L,V Koushik,India,Allrounder,UNCAPPED,2,,
9451,30.0 L,Matthew Kelly,Australia,Allrounder,UNCAPPED,4,TRUE,
13630,20.0 L,Nandre Burger,South Africa,Allrounder,UNCAPPED,11,TRUE,
13063,20.0 L,Jake Lintott,England,Allrounder,UNCAPPED,9,TRUE,
19218,20.0 L,Jaideep Bhambhu,India,Allrounder,UNCAPPED,2,,
18698,20.0 L,Chintal Gandhi,India,Allrounder,UNCAPPED,2,,
14650,20.0 L,Sumit Kumar,India,Allrounder,UNCAPPED,2,,
8923,20.0 L,Satyajeet Bachhav,India,Bowler,UNCAPPED,2,,
13113,20.0 L,Prithvi Raj Yarra,India,Bowler,UNCAPPED,2,,
24271,20.0 L,Shoun Roger,India,Allrounder,UNCAPPED,2,,
9271,20.0 L,Tanveer Ul Haq,India,Allrounder,UNCAPPED,2,,
13230,20.0 L,Aditya Thakare,India,Bowler,UNCAPPED,2,,
10668,20.0 L,Ravi Chauhan,India,Allrounder,UNCAPPED,2,,
15484,20.0 L,Sagar Udeshi,India,Bowler,UNCAPPED,2,,
8063,50.0 L,Seekkuge Prasanna,Sri Lanka,Allrounder,CAPPED,5,TRUE,
9601,50.0 L,Andile Phehlukwayo,South Africa,Allrounder,CAPPED,11,TRUE,
10172,50.0 L,Sisanda Magala,South Africa,Allrounder,CAPPED,11,TRUE,
13186,50.0 L,Dhananjaya Lakshan,Sri Lanka,Allrounder,CAPPED,5,TRUE,
7908,20.0 L,Amit Yadav,India,Allrounder,UNCAPPED,2,,
8083,50.0 L,Anaru Kitchen,New Zealand,Allrounder,CAPPED,13,TRUE,
8387,50.0 L,Danushka Gunathilaka,Sri Lanka,Allrounder,CAPPED,5,TRUE,
13962,20.0 L,Manoj Bhandage,India,Allrounder,UNCAPPED,2,,
