playerId,Match,Inning,Runs,Average,Strike Rate,Highest Score,hundreds,fifties,fours,sixes
6322,4,3,20,10,76.92,13,0,0,0,0
8548,-,-,-,-,-,-,-,-,-,-
11077,-,-,-,-,-,-,-,-,-,-
13067,-,-,-,-,-,-,-,-,-,-
8107,-,-,-,-,-,-,-,-,-,-
10358,5,2,19,19,146.15,18,0,0,1,1
8119,5,1,1,1,50,1,0,0,0,0
6642,-,-,-,-,-,-,-,-,-,-
1114,-,-,-,-,-,-,-,-,-,-
2244,5,5,53,10.6,103.92,24,0,0,3,3
8424,24,23,284,14.2,88.47,46,0,0,23,1
7752,42,42,1329,34.08,140.63,93,0,10,132,66
12951,-,-,-,-,-,-,-,-,-,-
8734,2,1,2,0,100,2,0,0,0,0
12315,-,-,-,-,-,-,-,-,-,-
9783,-,-,-,-,-,-,-,-,-,-
10324,-,-,-,-,-,-,-,-,-,-
14701,-,-,-,-,-,-,-,-,-,-
14964,-,-,-,-,-,-,-,-,-,-
12644,-,-,-,-,-,-,-,-,-,-
13173,-,-,-,-,-,-,-,-,-,-
13170,-,-,-,-,-,-,-,-,-,-
10394,-,-,-,-,-,-,-,-,-,-
6315,35,28,339,14.12,124.18,59,0,1,40,11
13172,5,5,78,19.5,101.3,33,0,0,9,1
10389,-,-,-,-,-,-,-,-,-,-
587,210,161,2502,26.62,127.65,62,0,2,182,90
265,234,206,4978,39.2,135.2,84,0,24,346,229
6692,44,42,910,23.33,143.99,93,0,5,76,53
11813,36,36,1207,37.72,130.35,101,1,10,113,43
7736,98,82,2035,30.37,177.88,88,0,10,137,175
12926,42,10,24,8,64.86,10,0,0,2,0
10917,22,22,552,27.6,120.79,67,0,5,54,21
2276,148,86,1025,14.86,162.7,75,0,4,112,63
576,227,222,5879,30.3,129.89,109,1,40,519,240
9311,120,26,56,8,84.85,16,0,0,4,1
7915,123,108,2644,30.05,136.78,82,0,16,284,84
657,189,171,3412,28.67,147.32,87,0,16,218,223
10744,98,97,2838,34.61,147.97,128,1,15,260,129
12094,63,63,1588,25.21,147.45,99,0,12,192,55
8808,122,88,1135,19.24,128.83,44,0,0,67,54
11427,30,6,8,8,66.67,3,0,0,0,0
6326,76,75,2101,36.22,126.03,89,0,18,181,64
14628,25,20,226,14.12,142.14,33,0,0,12,14
19027,17,4,4,4,50,3,0,0,0,0
1413,223,215,6624,36.2,129.15,113,5,44,578,218
7662,110,106,2319,25.48,153.88,95,0,13,197,127
10808,65,20,96,13.71,88.07,14,0,0,10,2
8271,138,134,3526,29.14,135.72,119,3,17,279,158
2258,82,81,2831,39.87,149.71,124,5,15,277,135
13940,23,23,547,23.78,134.73,68,0,3,62,22
13217,37,9,23,5.75,65.71,10,0,0,3,0
2195,113,107,2331,22.63,134.51,106,1,12,227,91
9647,107,100,1963,30.2,147.59,91,0,8,146,110
10738,92,43,313,11.18,151.94,40,0,0,20,22
11808,74,71,1900,32.2,125.25,96,0,14,188,47
8733,109,100,3889,48.01,136.22,132,4,31,327,164
8989,67,59,1070,26.1,137.36,65,0,4,83,48
14659,37,5,8,4,47.06,6,0,0,1,0
