player_id,Mat,Inn,Balls,Runs,Wkt,BBI,BBM,Eco,AVG,5W,10W
8579,50,-,-,-,-,-,-,-,-,-,-
8440,10,2,18,24,0,10 / 0,10 / 0,8.0,0.0,0,0
18738,-,-,-,-,-,-,-,-,-,-,-
13907,-,-,-,-,-,-,-,-,-,-,-
14504,-,-,-,-,-,-,-,-,-,-,-
12337,-,-,-,-,-,-,-,-,-,-,-
20538,-,-,-,-,-,-,-,-,-,-,-
14190,-,-,-,-,-,-,-,-,-,-,-
7860,13,13,268,374,12,27 / 3,27 / 3,8.37,31.17,0,0
14595,-,-,-,-,-,-,-,-,-,-,-
11054,-,-,-,-,-,-,-,-,-,-,-
7869,21,-,-,-,-,-,-,-,-,-,-
10214,-,-,-,-,-,-,-,-,-,-,-
11215,13,12,198,366,10,24 / 2,24 / 2,11.09,36.6,0,0
22601,-,-,-,-,-,-,-,-,-,-,-
8616,1,1,24,42,1,42 / 1,42 / 1,10.5,42.0,0,0
9554,39,-,-,-,-,-,-,-,-,-,-
14336,-,-,-,-,-,-,-,-,-,-,-
11221,16,15,312,402,22,22 / 4,22 / 4,7.73,18.27,0,0
12639,-,-,-,-,-,-,-,-,-,-,-
10353,-,-,-,-,-,-,-,-,-,-,-
10713,27,8,77,136,6,27 / 2,27 / 2,10.6,22.67,0,0
12669,-,-,-,-,-,-,-,-,-,-,-
11172,8,-,-,-,-,-,-,-,-,-,-
14726,-,-,-,-,-,-,-,-,-,-,-
6592,34,34,683,929,40,7 / 4,7 / 4,8.16,23.23,0,0
9582,20,8,108,134,5,21 / 3,21 / 3,7.44,26.8,0,0
19027,3,3,54,112,2,42 / 1,42 / 1,12.44,56.0,0,0
13646,20,17,323,571,20,21 / 3,21 / 3,10.61,28.55,0,0
8136,8,8,132,178,5,14 / 2,14 / 2,8.09,35.6,0,0
