playerId,Player name,Mat,Inn,Runs,Avg,SR,HS,NO,100s,50s,4s,6s
8095.0,Pat Cummins,39,16,68,7.56,130.77,13,7,0,0,3,4
10162.0,Chris Green,0,0,0,0,0,0,0,0,0,0,0
8292.0,Kuldeep Yadav,24,3,43,43.0,89.58,23,2,0,0,2,0
12092.0,Kamlesh Nagarkoti,0,0,0,0,0,0,0,0,0,0,0
2276.0,Sunil Narine,51,23,155,10.33,112.32,30,8,0,0,13,5
9204.0,Nitish Rana,2,2,15,7.5,55.56,9,0,0,0,0,0
8944.0,Sandeep Warrier,1,0,0,0,0,0,0,0,0,0,0
11808.0,Shubman Gill,0,0,0,0,0,0,0,0,0,0,0
10896.0,Rinku Singh,0,0,0,0,0,0,0,0,0,0,0
12926.0,Varun Chakravarthy,6,1,0,0.0,0.0,0,0,0,0,0,0
6496.0,Harry Gurney,2,0,0,0,0,0,0,0,0,0,0
9237.0,Pravin Tambe,0,0,0,0,0,0,0,0,0,0,0
11450.0,Ali Khan,3,0,0,0,0,0,0,0,0,0,0
9012.0,Rahul Tripathi,0,0,0,0,0,0,0,0,0,0,0
12345.0,Shivam Mavi,0,0,0,0,0,0,0,0,0,0,0
7736.0,Andre Russell,67,57,741,19.5,156.0,51,19,0,1,42,62
10551.0,Prasidh Krishna,0,0,0,0,0,0,0,0,0,0,0
9295.0,Nikhil Naik,0,0,0,0,0,0,0,0,0,0,0
9218.0,"
Siddhesh Lad",0,0,0,0,0,0,0,0,0,0,0
145.0,Dinesh Karthik,42,35,525,29.17,141.13,55,17,0,1,58,19
10692.0,Lockie Ferguson,17,3,15,7.5,136.36,14,1,0,0,0,2
12254.0,Tom Banton,14,14,327,23.36,147.96,73,0,0,2,29,17
576.0,Rohit Sharma,128,120,3379,31.88,139.63,118,14,4,26,303,157
8117.0,"
Trent Boult",44,11,30,6.0,75.0,8,6,0,0,2,0
12087.0,Rahul Chahar,6,1,5,5.0,100.0,5,0,0,0,1,0
8520.0,Quinton de Kock,64,63,1863,33.27,134.61,79,7,0,11,194,65
10276.0,Ishan Kishan,18,18,532,31.29,132.67,89,1,0,4,58,21
7752.0,Chris Lynn,18,16,291,19.4,131.67,44,1,0,0,28,14
3651.0,Mohsin Khan,0,0,0,0,0,0,0,0,0,0,0
9647.0,Hardik Pandya,63,44,770,24.06,147.23,51,12,0,1,54,42
657.0,Kieron Pollard,101,83,1569,25.31,135.14,75,21,0,6,94,99
