playerId,Player name,Mat,Inn_bat,Runs_bat,Avg_bat,SR,HS,NO,100s,50s,4s,6s,Inn_bowl,Balls,Runs_bowl,Wkt,BBI,BBM,Eco,Avg_bowl,5W,10W
10484,Praveen Dubey,3,1,7,0.0,53.85,7,1,0,0,0,0,3,48,72,0,14 / -,14 / -,9.0,0.0,0,0
10484,Praveen Dubey,3,1,7,0.0,53.85,7,1,0,0,0,0,3,48,72,0,14 / -,14 / -,9.0,0.0,0,0
10484,Praveen Dubey,3,1,7,0.0,53.85,7,1,0,0,0,0,3,48,72,0,14 / -,14 / -,9.0,0.0,0,0
10484,Praveen Dubey,3,1,7,0.0,53.85,7,1,0,0,0,0,3,48,72,0,14 / -,14 / -,9.0,0.0,0,0
10484,Praveen Dubey,3,1,7,0.0,53.85,7,1,0,0,0,0,3,48,72,0,14 / -,14 / -,9.0,0.0,0,0
10484,Praveen Dubey,3,1,7,0.0,53.85,7,1,0,0,0,0,3,48,72,0,14 / -,14 / -,9.0,0.0,0,0
10484,Praveen Dubey,3,1,7,0.0,53.85,7,1,0,0,0,0,3,48,72,0,14 / -,14 / -,9.0,0.0,0,0
10484,Praveen Dubey,3,1,7,0.0,53.85,7,1,0,0,0,0,3,48,72,0,14 / -,14 / -,9.0,0.0,0,0
10484,Praveen Dubey,3,1,7,0.0,53.85,7,1,0,0,0,0,3,48,72,0,14 / -,14 / -,9.0,0.0,0,0
10484,Praveen Dubey,3,1,7,0.0,53.85,7,1,0,0,0,0,3,48,72,0,14 / -,14 / -,9.0,0.0,0,0
10484,Praveen Dubey,3,1,7,0.0,53.85,7,1,0,0,0,0,3,48,72,0,14 / -,14 / -,9.0,0.0,0,0
10484,Praveen Dubey,3,1,7,0.0,53.85,7,1,0,0,0,0,3,48,72,0,14 / -,14 / -,9.0,0.0,0,0
10484,Praveen Dubey,3,1,7,0.0,53.85,7,1,0,0,0,0,3,48,72,0,14 / -,14 / -,9.0,0.0,0,0
10484,Praveen Dubey,3,1,7,0.0,53.85,7,1,0,0,0,0,3,48,72,0,14 / -,14 / -,9.0,0.0,0,0
13252,Lalit Yadav,19,13,229,25.44,104.57,48,4,0,0,18,7,13,192,251,8,11 / -,11 / -,7.84,31.38,0,0
11427,Anrich Nortje,30,6,8,8.0,66.67,3,5,0,0,0,0,30,682,916,43,33 / 3,33 / 3,8.06,21.3,0,0
8175,Harshal Patel,78,36,230,10.45,129.21,36,14,0,0,15,13,76,1585,2218,97,27 / 4,27 / 4,8.4,22.87,1,0
11214,Keemo Paul,8,6,18,3.6,75.0,7,1,0,0,1,1,8,163,237,9,17 / 5,17 / 5,8.72,26.33,0,0
1447,Ajinkya Rahane,158,148,4074,30.86,120.68,105,16,2,28,431,80,1,6,5,1,5 / -,5 / -,5.0,5.0,0,0
8181,Mohit Sharma,86,27,122,8.13,104.27,21,12,0,0,8,4,86,1754,2470,92,14 / 2,14 / 2,8.45,26.85,0,0
8989,Marcus Stoinis,67,59,1070,26.1,137.36,65,18,0,4,83,48,50,654,1048,34,15 / 2,15 / 2,9.61,30.82,0,0
6534,Jason Roy,13,13,329,29.91,129.02,91,2,0,2,39,9,0,0,0,0,0,0,0.0,0.0,0,0
6670,Chris Woakes,21,12,78,13.0,101.3,18,6,0,0,7,2,21,440,658,30,6 / 2,6 / 2,8.97,21.93,0,0
702,Ishant Sharma,93,25,55,9.17,90.16,10,19,0,0,4,2,93,1997,2701,72,12 / 2,12 / 2,8.12,37.51,1,0
1454,Amit Mishra,154,56,362,11.68,93.06,31,25,0,0,29,5,154,3245,3976,166,17 / 3,17 / 3,7.35,23.95,1,0
12094,Prithvi Shaw,63,63,1588,25.21,147.45,99,0,0,12,192,55,0,0,0,0,0,0,0.0,0.0,0,0
13162,Daniel Sams,16,13,44,4.89,100.0,15,4,0,0,1,3,16,360,523,14,30 / 2,30 / 2,8.72,37.36,0,0
9585,Kagiso Rabada,63,26,186,12.4,105.08,44,11,0,0,16,6,63,1428,1966,99,21 / 3,21 / 3,8.26,19.86,0,0
8808,Axar Patel,122,88,1135,19.24,128.83,44,29,0,0,67,54,121,2553,3083,101,21 / 3,21 / 3,7.25,30.52,0,0
10744,Rishabh Pant,98,97,2838,34.61,147.97,128,15,1,15,260,129,0,0,0,0,0,0,0.0,0.0,0,0
11158,Sandeep Lamichhane,9,1,0,0.0,0.0,0,0,0,0,0,0,9,210,292,13,36 / 4,36 / 4,8.34,22.46,0,0
9789,Shimron Hetmyer,46,44,831,30.78,152.2,75,17,0,3,55,52,0,0,0,0,0,0,0.0,0.0,0,0
1446,Shikhar Dhawan,206,205,6243,34.88,126.33,106,26,2,47,701,136,6,48,66,4,7 / -,7 / -,8.25,16.5,0,0
9200,Alex Carey,3,3,32,16.0,110.34,14,1,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0
1593,Ravichandran Ashwin,184,75,647,13.48,117.64,50,27,0,1,51,21,181,3900,4534,157,34 / 4,34 / 4,6.98,28.88,0,0
8733,KL Rahul,109,100,3889,48.01,136.22,132,19,4,31,327,164,0,0,0,0,0,0,0.0,0.0,0,0
13217,Arshdeep Singh,37,9,23,5.75,65.71,10,5,0,0,3,0,37,757,1054,40,32 / 2,32 / 2,8.35,26.35,1,0
9395,Sheldon Cottrell,6,1,0,0.0,0.0,0,0,0,0,0,0,6,120,176,6,17 / 4,17 / 4,8.8,29.33,0,0
8925,Krishnappa Gowtham,28,20,186,13.29,167.57,33,6,0,0,13,12,28,480,661,18,12 / -,12 / -,8.26,36.72,0,0
9427,Deepak Hooda,95,75,1236,20.26,132.05,64,14,0,7,77,56,30,349,501,10,16 / 0,16 / 0,8.61,50.1,0,0
9429,Sarfaraz khan,46,33,532,24.18,137.82,67,11,0,1,59,13,1,2,6,0,6 / -,6 / -,0.0,0.0,0,0
7662,Glenn Maxwell,110,106,2319,25.48,153.88,95,15,0,13,197,127,66,786,1080,28,15 / 3,15 / 3,8.24,38.57,0,0
12071,Mujeeb Ur Rahman,19,7,12,4.0,80.0,10,4,0,0,2,0,19,434,592,19,27 / 5,27 / 5,8.18,31.16,0,0
12779,Darshan Nalkande,2,0,0,0.0,0.0,0,0,0,0,0,0,2,31,59,2,37 / -,37 / -,11.42,29.5,0,0
9406,Nicholas Pooran,47,44,912,26.06,151.24,77,9,0,4,51,65,0,0,0,0,0,0,0.0,0.0,0,0
14254,Prabhsimran Singh,6,6,64,10.67,96.97,16,0,0,0,6,2,0,0,0,0,0,0,0.0,0.0,0,0
10357,Jagadeesha Suchith,22,10,70,17.5,114.75,34,6,0,0,6,3,21,420,602,19,12 / -,12 / -,8.6,31.68,0,0
9493,Hardus Viljoen,6,3,3,1.5,42.86,2,1,0,0,0,0,6,138,222,7,39 / -,39 / -,9.65,31.71,0,0
14659,Ravi Bishnoi,37,5,8,4.0,47.06,6,3,0,0,1,0,37,846,1062,37,24 / 2,24 / 2,7.53,28.7,0,0
11404,Ishan Porel,1,0,0,0.0,0.0,0,0,0,0,0,0,1,24,39,1,39 / -,39 / -,9.75,39.0,0,0
8983,James Neesham,14,10,92,10.22,98.92,22,1,0,0,6,2,13,216,334,8,12 / 3,12 / 3,9.28,41.75,0,0
8257,Karun Nair,76,68,1496,23.75,127.75,83,5,0,10,161,39,0,0,0,0,0,0,0.0,0.0,0,0
7909,Mohammed Shami,93,23,69,6.27,94.52,21,12,0,0,5,2,93,2036,2890,99,15 / 3,15 / 3,8.52,29.19,0,0
6319,Mandeep Singh,108,95,1692,21.42,123.32,77,16,0,6,176,37,2,12,26,0,8 / -,8 / -,13.0,0.0,0,0
6532,Chris Jordan,28,11,75,9.38,115.38,30,3,0,0,3,3,28,536,833,27,11 / 4,11 / 4,9.32,30.85,0,0
14452,Harpreet Brar,15,9,106,35.33,111.58,25,6,0,0,6,5,15,288,374,9,19 / -,19 / -,7.79,41.56,0,0
247,Chris Gayle,142,141,4965,39.72,148.96,175,16,6,31,405,357,38,554,729,18,21 / 2,21 / 2,7.9,40.5,0,0
8796,Murugan Ashwin,42,13,35,3.89,70.0,9,4,0,0,2,1,42,846,1109,35,21 / -,21 / -,7.87,31.69,0,0
2195,Mayank Agarwal,113,107,2331,22.63,134.51,106,4,1,12,227,91,0,0,0,0,0,0,0.0,0.0,0,0
624,Eoin Morgan,83,75,1405,22.66,122.6,68,13,0,5,112,64,0,0,0,0,0,0,0.0,0.0,0,0
8095,Pat Cummins,42,31,379,18.95,152.21,66,11,0,3,24,26,42,953,1357,45,34 / 3,34 / 3,8.54,30.16,0,0
10162,Chris Green,1,0,0,0.0,0.0,0,0,0,0,0,0,1,17,24,0,24 / -,24 / -,8.47,0.0,0,0
8292,Kuldeep Yadav,59,18,105,15.0,82.68,16,11,0,0,8,2,57,1194,1655,61,14 / 5,14 / 5,8.32,27.13,0,0
12092,Kamlesh Nagarkoti,12,7,22,5.5,66.67,8,3,0,0,1,0,11,180,285,5,13 / -,13 / -,9.5,57.0,0,0
2276,Sunil Narine,148,86,1025,14.86,162.7,75,17,0,4,112,63,147,3457,3820,152,19 / 4,19 / 4,6.63,25.13,1,0
9204,Nitish Rana,91,85,2181,27.96,134.22,87,7,0,15,190,111,18,127,177,7,11 / -,11 / -,8.36,25.29,0,0
8944,Sandeep Warrier,5,0,0,0.0,0.0,0,0,0,0,0,0,5,102,134,2,31 / 0,31 / 0,7.88,67.0,0,0
11808,Shubman Gill,74,71,1900,32.2,125.25,96,12,0,14,188,47,0,0,0,0,0,0,0.0,0.0,0,0
10896,Rinku Singh,17,15,251,20.92,130.05,42,3,0,0,23,9,0,0,0,0,0,0,0.0,0.0,0,0
12926,Varun Chakravarthy,42,10,24,8.0,64.86,10,7,0,0,2,0,42,972,1171,42,20 / 1,20 / 1,7.23,27.88,1,0
6496,Harry Gurney,8,1,1,0.0,20.0,1,1,0,0,0,0,8,162,238,7,25 / 2,25 / 2,8.81,34.0,0,0
9237,Pravin Tambe,33,6,18,9.0,46.15,7,4,0,0,1,0,33,660,853,28,20 / -,20 / -,7.75,30.46,0,0
11450,Ali Khan,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
9012,Rahul Tripathi,76,74,1798,27.66,140.8,93,9,0,10,176,68,1,6,12,0,12 / -,12 / -,12.0,0.0,0,0
12345,Shivam Mavi,32,12,51,5.67,91.07,20,3,0,0,4,2,32,649,942,30,21 / -,21 / -,8.71,31.4,0,0
7736,Andre Russell,98,82,2035,30.37,177.88,88,15,0,10,137,175,89,1430,2179,89,15 / 3,15 / 3,9.14,24.48,1,0
10551,Prasidh Krishna,51,10,9,3.0,37.5,4,7,0,0,0,0,51,1145,1703,49,30 / -,30 / -,8.92,34.76,0,0
9295,Nikhil Naik,4,4,31,7.75,62.0,22,0,0,0,2,0,0,0,0,0,0,0,0.0,0.0,0,0
9218,"
Siddhesh Lad",1,1,15,15.0,115.38,15,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,0,0
145,Dinesh Karthik,229,208,4376,26.85,132.65,97,45,0,20,426,134,0,0,0,0,0,0,0.0,0.0,0,0
10692,Lockie Ferguson,35,9,67,33.5,148.89,24,7,0,0,6,2,35,765,1075,36,28 / 5,28 / 5,8.43,29.86,0,0
12254,Tom Banton,2,2,18,9.0,90.0,10,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,0,0
576,Rohit Sharma,227,222,5879,30.3,129.89,109,28,1,40,519,240,32,339,453,15,6 / 1,6 / 1,8.02,30.2,0,0
8117,"
Trent Boult",78,18,53,10.6,110.42,17,13,0,0,2,2,78,1789,2475,92,18 / 4,18 / 4,8.3,26.9,0,0
12087,Rahul Chahar,55,19,108,8.31,108.0,25,6,0,0,10,4,54,1180,1477,57,27 / 3,27 / 3,7.51,25.91,0,0
8520,Quinton de Kock,92,92,2764,32.14,133.91,140,6,2,19,277,106,0,0,0,0,0,0,0.0,0.0,0,0
10276,Ishan Kishan,75,70,1870,29.22,132.34,99,6,0,12,166,85,0,0,0,0,0,0,0.0,0.0,0,0
7752,Chris Lynn,42,42,1329,34.08,140.63,93,3,0,10,132,66,0,0,0,0,0,0,0.0,0.0,0,0
3651,Mohsin Khan,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
9647,Hardik Pandya,107,100,1963,30.2,147.59,91,35,0,8,146,110,70,1052,1535,50,17 / 4,17 / 4,8.75,30.7,0,0
657,Kieron Pollard,189,171,3412,28.67,147.32,87,52,0,16,218,223,107,1488,2180,69,44 / 4,44 / 4,8.79,31.59,0,0
12344,Anukul Roy,3,1,0,0.0,0.0,0,0,0,0,0,0,3,54,66,2,11 / -,11 / -,7.33,33.0,0,0
6315,Aditya Tare,35,28,339,14.12,124.18,59,4,0,1,40,11,0,0,0,0,0,0,0.0,0.0,0,0
8182,Jayant Yadav,19,5,40,10.0,111.11,23,1,0,0,2,1,19,366,419,8,8 / -,8 / -,6.87,52.38,0,0
7915,Suryakumar Yadav,123,108,2644,30.05,136.78,82,20,0,16,284,84,1,6,8,0,8 / -,8 / -,8.0,0.0,0,0
1601,Saurabh Tiwary,93,74,1494,28.73,120.1,61,22,0,8,111,50,0,0,0,0,0,0,0.0,0.0,0,0
13748,Sherfane Rutherford,10,9,106,15.14,101.92,28,2,0,0,3,8,6,41,59,1,6 / 1,6 / 1,8.63,59.0,0,0
2283,James Pattinson,10,2,15,15.0,115.38,11,1,0,0,2,0,10,213,320,11,19 / 2,19 / 2,9.01,29.09,0,0
11311,Krunal Pandya,98,85,1326,22.1,136.7,86,25,0,1,121,50,93,1672,2038,61,14 / 4,14 / 4,7.31,33.41,0,0
1451,Dhawal Kulkarni,92,23,104,11.56,96.3,28,14,0,0,7,2,92,1787,2474,86,14 / 2,14 / 2,8.31,28.77,0,0
9311,Jasprit Bumrah,120,26,56,8.0,84.85,16,19,0,0,4,1,120,2742,3380,145,10 / 3,10 / 3,7.4,23.31,1,0
10947,Anmolpreet Singh,3,3,29,9.67,107.41,16,0,0,0,3,1,0,0,0,0,0,0,0.0,0.0,0,0
2250,Steven Smith,103,93,2485,34.51,128.09,101,21,1,11,225,60,1,2,5,0,5 / 3,5 / 3,0.0,0.0,0,0
14696,Akash Singh,1,0,0,0.0,0.0,0,0,0,0,0,0,1,24,39,0,39 / -,39 / -,9.75,0.0,0,0
11540,Jofra Archer,35,23,195,15.0,157.26,27,10,0,0,11,14,35,825,981,46,15 / 4,15 / 4,7.13,21.33,0,0
9522,Tom Curran,13,10,127,25.4,118.69,54,5,0,1,10,3,13,238,430,13,29 / 4,29 / 4,10.84,33.08,0,0
13940,Yashasvi Jaiswal,23,23,547,23.78,134.73,68,0,0,3,62,22,1,1,6,0,6 / -,6 / -,0.0,0.0,0,0
13136,Kartik Tyagi,16,7,13,3.25,81.25,7,3,0,0,1,0,16,361,570,14,29 / -,29 / -,9.47,40.71,0,0
