playerId,Player name,2022,2021,2020,2019,2018,2017,2016,2015,2014
7909,Mohammed Shami,62.5,48.0,48.0,48.0,30.0,0.0,42.5,42.5,42.5
6319,Mandeep Singh,14.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0
6532,Chris Jordan,30.0,30.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0
14452,Harpreet Brar,38.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
8796,Murugan Ashwin,16.0,2.0,2.0,2.0,22.0,10.0,45.0,0.0,0.0
2195,Mayank Agarwal,120.0,10.0,10.0,10.0,10.0,16.0,16.0,16.0,16.0
624,Eoin Morgan,52.5,52.5,0.0,0.0,20.0,15.0,15.0,0.0,0.0
8095,Pat Cummins,72.5,155.0,155.0,0.0,54.0,45.0,0.0,10.0,10.0
10162,Chris Green,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8292,Kuldeep Yadav,20.0,58.0,58.0,58.0,58.0,4.0,4.0,4.0,4.0
12092,Kamlesh Nagarkoti,11.0,32.0,32.0,32.0,32.0,0.0,0.0,0.0,0.0
2276,Sunil Narine,60.0,125.0,125.0,125.0,125.0,95.0,95.0,95.0,95.0
9204,Nitish Rana,80.0,34.0,34.0,34.0,34.0,1.0,1.0,1.0,0.0
8944,Sandeep Warrier,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0
11808,Shubman Gill,80.0,18.0,18.0,18.0,18.0,0.0,0.0,0.0,0.0
10896,Rinku Singh,8.0,8.0,8.0,8.0,1.0,0.0,0.0,0.0,0.0
12926,Varun Chakravarthy,80.0,40.0,40.0,84.0,0.0,0.0,0.0,0.0,0.0
11450,Ali Khan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9012,Rahul Tripathi,85.0,6.0,6.0,34.0,34.0,1.0,0.0,0.0,0.0
12345,Shivam Mavi,72.5,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0
7736,Andre Russell,120.0,85.0,85.0,85.0,85.0,0.0,6.0,6.0,6.0
10551,Prasidh Krishna,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0
9295,Nikhil Naik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,Dinesh Karthik,55.0,74.0,74.0,74.0,74.0,23.0,23.0,105.0,125.0
10692,Lockie Ferguson,100.0,16.0,16.0,16.0,0.0,5.0,0.0,0.0,0.0
576,Rohit Sharma,160.0,150.0,150.0,150.0,150.0,125.0,125.0,125.0,125.0
8117,"
Trent Boult",80.0,22.0,22.0,22.0,22.0,50.0,38.0,38.0,0.0
12087,Rahul Chahar,52.5,19.0,19.0,19.0,19.0,1.0,0.0,0.0,0.0
8520,Quinton de Kock,67.5,28.0,28.0,28.0,28.0,35.0,35.0,35.0,35.0
10276,Ishan Kishan,152.5,62.0,62.0,62.0,62.0,3.5,3.5,0.0,0.0
7752,Chris Lynn,20.0,20.0,96.0,96.0,13.0,13.0,13.0,13.0,13.0
9647,Hardik Pandya,150.0,110.0,110.0,110.0,110.0,1.0,1.0,1.0,0.0
657,Kieron Pollard,60.0,54.0,54.0,54.0,54.0,75.0,75.0,75.0,75.0
12344,Anukul Roy,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
6315,Aditya Tare,2.0,2.0,2.0,2.0,2.5,2.5,16.0,16.0,16.0
8182,Jayant Yadav,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0
7915,Suryakumar Yadav,80.0,32.0,32.0,32.0,32.0,7.0,7.0,7.0,7.0
1601,Saurabh Tiwary,5.0,5.0,0.0,5.0,3.0,7.0,7.0,7.0,7.0
13748,Sherfane Rutherford,0.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0
11311,Krunal Pandya,82.5,88.0,88.0,88.0,88.0,20.0,20.0,0.0,0.0
1451,Dhawal Kulkarni,7.5,7.5,7.5,7.5,23.0,23.0,11.0,11.0,11.0
