playerId,Match,Inning,Runs,Average,Strike Rate,Highest Score,hundreds,fifties,fours,sixes,
9954,-,-,-,-,-,-,-,-,-,-,
8422,37,34,842,27.16,95.46,102,1,3,61,33,
8837,1,-,-,-,-,-,-,-,-,-,
11214,19,13,214,23.78,89.92,46,0,0,15,9,
8030,72,61,1114,21.02,73.19,82,0,5,88,27,
9576,-,-,-,-,-,-,-,-,-,-,
11144,-,-,-,-,-,-,-,-,-,-,
10665,-,-,-,-,-,-,-,-,-,-,
7716,-,-,-,-,-,-,-,-,-,-,
11315,-,-,-,-,-,-,-,-,-,-,
12625,-,-,-,-,-,-,-,-,-,-,
13126,-,-,-,-,-,-,-,-,-,-,
9028,-,-,-,-,-,-,-,-,-,-,
9885,15,15,432,33.23,86.75,94,0,2,21,21,
14179,-,-,-,-,-,-,-,-,-,-,
10381,-,-,-,-,-,-,-,-,-,-,
12624,-,-,-,-,-,-,-,-,-,-,
14523,-,-,-,-,-,-,-,-,-,-,
15749,-,-,-,-,-,-,-,-,-,-,
8198,-,-,-,-,-,-,-,-,-,-,
14168,-,-,-,-,-,-,-,-,-,-,
10974,-,-,-,-,-,-,-,-,-,-,
8647,-,-,-,-,-,-,-,-,-,-,
10322,-,-,-,-,-,-,-,-,-,-,
14656,-,-,-,-,-,-,-,-,-,-,
551,42,40,1128,34.18,73.53,72,0,8,84,7,
12253,-,-,-,-,-,-,-,-,-,-,
1855,-,-,-,-,-,-,-,-,-,-,
14467,-,-,-,-,-,-,-,-,-,-,
2257,-,-,-,-,-,-,-,-,-,-,
15817,-,-,-,-,-,-,-,-,-,-,
11128,19,8,25,4.17,71.43,9,0,0,4,0,
13791,10,5,17,4.25,70.83,8,0,0,1,1,
24301,-,-,-,-,-,-,-,-,-,-,
14383,-,-,-,-,-,-,-,-,-,-,
15620,-,-,-,-,-,-,-,-,-,-,
14451,-,-,-,-,-,-,-,-,-,-,
8676,9,5,79,26.33,102.6,49,0,0,5,2,
