playerId,Player name,Mat,Inn,Balls,Runs,Wkt,BBI,BBM,Eco,AVG,5W,10W
7909.0,Mohammed Shami,82,81,4188,3910,152,69 / 5,69 / 5,5.6,25.72,1,0
6319.0,Mandeep Singh,0,0,0,0,0,0,0,0,0,0,0
6532.0,Chris Jordan,34,34,1618,1611,45,29 / 5,29 / 5,5.97,35.8,1,0
14452.0,Harpreet Brar,0,0,0,0,0,0,0,0,0,0,0
247.0,Chris Gayle,301,199,7424,5926,167,46 / 5,46 / 5,4.79,35.49,1,0
8796.0,Murugan Ashwin,0,0,0,0,0,0,0,0,0,0,0
2195.0,Mayank Agarwal,5,1,6,10,0,10 / 0,10 / 0,10.0,0.0,0,0
624.0,Eoin Morgan,248,0,0,0,0,0,0,0,0,0,0
8095.0,Pat Cummins,73,73,3842,3337,119,70 / 5,70 / 5,5.21,28.04,1,0
10162.0,Chris Green,0,0,0,0,0,0,0,0,0,0,0
8292.0,Kuldeep Yadav,66,64,3528,3084,109,25 / 6,25 / 6,5.24,28.29,1,0
12092.0,Kamlesh Nagarkoti,0,0,0,0,0,0,0,0,0,0,0
2276.0,Sunil Narine,65,65,3540,2435,92,27 / 6,27 / 6,4.13,26.47,2,0
9204.0,Nitish Rana,1,1,18,10,0,10 / 0,10 / 0,3.33,0.0,0,0
8944.0,Sandeep Warrier,0,0,0,0,0,0,0,0,0,0,0
11808.0,Shubman Gill,3,0,0,0,0,0,0,0,0,0,0
10896.0,Rinku Singh,0,0,0,0,0,0,0,0,0,0,0
12926.0,Varun Chakravarthy,0,0,0,0,0,0,0,0,0,0,0
6496.0,Harry Gurney,10,10,455,432,11,55 / 4,55 / 4,5.7,39.27,0,0
9237.0,Pravin Tambe,0,0,0,0,0,0,0,0,0,0,0
11450.0,Ali Khan,7,7,325,240,14,20 / 5,20 / 5,4.43,17.14,1,0
9012.0,Rahul Tripathi,0,0,0,0,0,0,0,0,0,0,0
12345.0,Shivam Mavi,0,0,0,0,0,0,0,0,0,0,0
7736.0,Andre Russell,56,55,2290,2229,70,35 / 4,35 / 4,5.84,31.84,0,0
10551.0,Prasidh Krishna,10,10,505,428,20,12 / 4,12 / 4,5.09,21.4,0,0
9295.0,Nikhil Naik,0,0,0,0,0,0,0,0,0,0,0
9218.0,"
Siddhesh Lad",0,0,0,0,0,0,0,0,0,0,0
145.0,Dinesh Karthik,94,0,0,0,0,0,0,0,0,0,0
10692.0,Lockie Ferguson,39,39,2076,1883,71,45 / 5,45 / 5,5.44,26.52,1,0
12254.0,Tom Banton,6,0,0,0,0,0,0,0,0,0,0
576.0,Rohit Sharma,233,38,593,515,8,27 / 2,27 / 2,5.21,64.38,0,0
8117.0,"
Trent Boult",93,93,5117,4261,169,34 / 7,34 / 7,5.0,25.21,5,0
12087.0,Rahul Chahar,1,1,60,54,3,54 / 3,54 / 3,5.4,18.0,0,0
8520.0,Quinton de Kock,130,0,0,0,0,0,0,0,0,0,0
10276.0,Ishan Kishan,3,0,0,0,0,0,0,0,0,0,0
7752.0,Chris Lynn,4,0,0,0,0,0,0,0,0,0,0
3651.0,Mohsin Khan,75,2,12,5,1,2 / 1,2 / 1,2.5,5.0,0,0
9647.0,Hardik Pandya,66,61,2632,2438,63,24 / 4,24 / 4,5.56,38.7,0,0
657.0,Kieron Pollard,123,82,2275,2161,55,27 / 3,27 / 3,5.7,39.29,0,0
12344.0,Anukul Roy,0,0,0,0,0,0,0,0,0,0,0
6315.0,Aditya Tare,0,0,0,0,0,0,0,0,0,0,0
8182.0,Jayant Yadav,2,2,84,61,1,8 / 1,8 / 1,4.36,61.0,0,0
7915.0,Suryakumar Yadav,10,0,0,0,0,0,0,0,0,0,0
1601.0,Saurabh Tiwary,3,0,0,0,0,0,0,0,0,0,0
13748.0,Sherfane Rutherford,0,0,0,0,0,0,0,0,0,0,0
2283.0,James Pattinson,15,15,727,681,16,51 / 4,51 / 4,5.62,42.56,0,0
11311.0,Krunal Pandya,5,5,228,223,2,26 / 1,26 / 1,5.87,111.5,0,0
