playerId,Player name,2022,2021,2020,2019,2018,2017,2016,2015,2014,auctionStatus,country,role
265.0,MS Dhoni,12.0 Cr,15.0 Cr,15.0 Cr,15.0 Cr,15.0 Cr,12.50 Cr,12.50 Cr,12.50 Cr,12.50 Cr,retained,India,WK-Batter
7836.0,Deepak Chahar,14.0 Cr,80.0 L,80.0 L,80.0 L,80.0 L,10.0 L,10.0 L,0,0,sold,India,Bowler
11813.0,Ruturaj Gaikwad,6.0 Cr,20.0 L,20.0 L,20.0 L,0,0,0,0,0,retained,India,Batter
6667.0,Imran Tahir,0,1.0 Cr,1.0 Cr,1.0 Cr,1.0 Cr,50.0 L,1.0 Cr,1.0 Cr,1.0 Cr,unsold,South Africa,Bowler
1851.0,Kedar Jadhav,2.0 Cr,7.80 Cr,7.80 Cr,7.80 Cr,2.0 Cr,2.0 Cr,2.0 Cr,2.0 Cr,0,unauctioned,India,Allrounder
9783.0,Monu Kumar,20.0 L,20.0 L,20.0 L,20.0 L,0,0,0,0,0,unauctioned,India,Bowler
6311.0,Ambati Rayudu,6.75 Cr,2.20 Cr,2.20 Cr,2.20 Cr,2.20 Cr,4.0 Cr,4.0 Cr,4.0 Cr,4.0 Cr,sold,India,WK-Batter
10100.0,Mitchell Santner,50.0 L,50.0 L,50.0 L,50.0 L,0,0,0,0,0,sold,New Zealand,Allrounder
8683.0,Shardul Thakur,10.75 Cr,2.60 Cr,2.60 Cr,2.60 Cr,2.60 Cr,20.0 L,20.0 L,20.0 L,20.0 L,sold,India,Bowler
413.0,Suresh Raina,0,11.0 Cr,11.0 Cr,11.0 Cr,11.0 Cr,12.50 Cr,9.50 Cr,9.50 Cr,9.50 Cr,unsold,India,Batter
242.0,Dwayne Bravo,4.40 Cr,6.40 Cr,6.40 Cr,6.40 Cr,6.40 Cr,4.0 Cr,4.0 Cr,4.0 Cr,4.0 Cr,sold,West Indies,Allrounder
1844.0,Karn Sharma,5.0 Cr,5.0 Cr,5.0 Cr,5.0 Cr,3.20 Cr,3.75 Cr,3.75 Cr,3.75 Cr,0,sold,India,Bowler
11595.0,Ravisrinivasan Sai Kishore,3.0 Cr,20.0 L,20.0 L,0,0,0,0,0,0,sold,India,Bowler
11595.0,Ravisrinivasan Sai Kishore,3.0 Cr,20.0 L,20.0 L,0,0,0,0,0,0,sold,India,Bowler
11595.0,R Sai Kishore,3.0 Cr,20.0 L,20.0 L,0,0,0,0,0,0,sold,India,Bowler
11595.0,R Sai Kishore,3.0 Cr,20.0 L,20.0 L,0,0,0,0,0,0,sold,India,Bowler
9603.0,Lungi Ngidi,50.0 L,50.0 L,50.0 L,50.0 L,0,0,0,0,0,sold,South Africa,Bowler
11675.0,Narayan Jagadeesan,0,20.0 L,20.0 L,20.0 L,20.0 L,0,0,0,0,sold,India,WK-Batter
587.0,Ravindra Jadeja,16.0 Cr,7.0 Cr,7.0 Cr,7.0 Cr,7.0 Cr,9.50 Cr,5.50 Cr,5.50 Cr,5.50 Cr,retained,India,Allrounder
6258.0,Josh Hazlewood,7.75 Cr,2.0 Cr,2.0 Cr,0,0,0,0,0,0,sold,Australia,Bowler
7825.0,Faf du Plessis,7.0 Cr,1.60 Cr,1.60 Cr,1.60 Cr,1.60 Cr,4.0 Cr,4.75 Cr,4.75 Cr,4.75 Cr,sold,South Africa,Batter
466.0,Piyush Chawla,2.40 Cr,6.75 Cr,4.20 Cr,4.20 Cr,4.25 Cr,4.25 Cr,4.25 Cr,4.25 Cr,0,unsold,India,Bowler
13483.0,KM Asif,20.0 L,40.0 L,40.0 L,40.0 L,40.0 L,0,0,0,0,sold,India,Bowler
9428.0,Shreyas Iyer,12.25 Cr,7.0 Cr,7.0 Cr,7.0 Cr,7.0 Cr,2.60 Cr,2.60 Cr,2.60 Cr,0,sold,India,Batter
9781.0,Avesh Khan,10.0 Cr,70.0 L,70.0 L,70.0 L,70.0 L,10.0 L,0,0,0,sold,India,Bowler
11307.0,Tushar Deshpande,20.0 L,0,0,0,0,0,0,0,0,sold,India,Bowler
10484.0,Praveen Dubey,20.0 L,0,0,0,35.0 L,35.0 L,0,0,0,sold,India,Bowler
10484.0,Praveen Dubey,20.0 L,0,0,0,35.0 L,35.0 L,0,0,0,sold,India,Bowler
10484.0,Praveen Dubey,20.0 L,0,0,0,35.0 L,35.0 L,0,0,0,sold,India,Bowler
10484.0,Praveen Dubey,20.0 L,0,0,0,35.0 L,35.0 L,0,0,0,sold,India,Bowler
13252.0,Lalit Yadav,20.0 L,20.0 L,0,0,0,0,0,0,0,sold,India,Allrounder
11427.0,Anrich Nortje,6.50 Cr,50.0 L,50.0 L,0,0,0,0,0,0,retained,South Africa,Bowler
8175.0,Harshal Patel,10.75 Cr,20.0 L,20.0 L,20.0 L,20.0 L,40.0 L,40.0 L,40.0 L,40.0 L,sold,India,Bowler
11214.0,Keemo Paul,0,0,0,0,0,0,0,0,0,unauctioned,West Indies,Allrounder
1447.0,Ajinkya Rahane,4.0 Cr,4.0 Cr,4.0 Cr,4.0 Cr,8.0 Cr,8.0 Cr,7.50 Cr,7.50 Cr,0,sold,India,Batter
8181.0,Mohit Sharma,0,0,0,0,0,0,0,0,0,unauctioned,India,Bowler
8989.0,Marcus Stoinis,9.20 Cr,4.80 Cr,4.80 Cr,6.20 Cr,6.20 Cr,55.0 L,55.0 L,0,0,drafted,Australia,Allrounder
6534.0,Jason Roy,2.0 Cr,2.0 Cr,0,0,1.50 Cr,1.0 Cr,0,0,0,sold,England,Batter
702.0,Ishant Sharma,1.10 Cr,1.10 Cr,1.10 Cr,0,2.0 Cr,3.80 Cr,1.50 Cr,1.50 Cr,0,unsold,India,Bowler
1454.0,Amit Mishra,0,4.0 Cr,4.0 Cr,4.0 Cr,4.0 Cr,3.50 Cr,3.50 Cr,3.50 Cr,4.75 Cr,unsold,India,Bowler
12094.0,Prithvi Shaw,7.50 Cr,1.20 Cr,1.20 Cr,1.20 Cr,1.20 Cr,0,0,0,0,retained,India,Batter
13162.0,Daniel Sams,20.0 L,20.0 L,0,0,0,0,0,0,0,sold,Australia,Allrounder
9585.0,Kagiso Rabada,9.25 Cr,4.20 Cr,4.20 Cr,4.20 Cr,4.20 Cr,5.0 Cr,0,0,0,sold,South Africa,Bowler
8808.0,Axar Patel,9.0 Cr,5.0 Cr,5.0 Cr,5.0 Cr,12.50 Cr,75.0 L,75.0 L,75.0 L,75.0 L,retained,India,Allrounder
10744.0,Rishabh Pant,16.0 Cr,8.0 Cr,8.0 Cr,8.0 Cr,8.0 Cr,1.90 Cr,1.90 Cr,0,0,retained,India,WK-Batter
11158.0,Sandeep Lamichhane,0,0,0,0,0,0,0,0,0,unsold,Nepal,Bowler
9789.0,Shimron Hetmyer,8.50 Cr,7.75 Cr,7.75 Cr,4.20 Cr,0,0,0,0,0,sold,West Indies,Batter
1446.0,Shikhar Dhawan,8.25 Cr,5.20 Cr,5.20 Cr,5.20 Cr,5.20 Cr,12.50 Cr,12.50 Cr,12.50 Cr,12.50 Cr,sold,India,Batter
1593.0,Ravichandran Ashwin,5.0 Cr,7.60 Cr,7.60 Cr,7.60 Cr,7.60 Cr,7.50 Cr,7.50 Cr,7.50 Cr,7.50 Cr,sold,India,Allrounder
8733.0,KL Rahul,17.0 Cr,11.0 Cr,11.0 Cr,11.0 Cr,11.0 Cr,0,1.0 Cr,1.0 Cr,1.0 Cr,drafted,India,WK-Batter
13217.0,Arshdeep Singh,4.0 Cr,20.0 L,20.0 L,20.0 L,0,0,0,0,0,retained,India,Bowler
9395.0,Sheldon Cottrell,0,0,0,0,0,0,0,0,0,unsold,West Indies,Bowler
8925.0,Krishnappa Gowtham,9.25 Cr,6.20 Cr,6.20 Cr,6.20 Cr,2.0 Cr,0,0,0,0,sold,India,Allrounder
9427.0,Deepak Hooda,5.75 Cr,50.0 L,3.60 Cr,3.60 Cr,3.60 Cr,0,0,0,0,sold,India,Allrounder
9429.0,Sarfaraz khan,20.0 L,25.0 L,25.0 L,25.0 L,1.75 Cr,0,50.0 L,50.0 L,0,sold,India,Batter
7662.0,Glenn Maxwell,11.0 Cr,14.25 Cr,10.75 Cr,0,9.0 Cr,6.0 Cr,6.0 Cr,6.0 Cr,6.0 Cr,retained,Australia,Allrounder
12071.0,Mujeeb Ur Rahman,0,1.50 Cr,4.0 Cr,4.0 Cr,4.0 Cr,0,0,0,0,unsold,Afghanistan,Bowler
12779.0,Darshan Nalkande,30.0 L,30.0 L,30.0 L,0,0,0,0,0,0,sold,India,Bowler
9406.0,Nicholas Pooran,10.75 Cr,4.20 Cr,4.20 Cr,4.20 Cr,0,30.0 L,0,0,0,sold,West Indies,WK-Batter
14254.0,Prabhsimran Singh,60.0 L,55.0 L,4.80 Cr,4.80 Cr,0,0,0,0,0,sold,India,WK-Batter
10357.0,Jagadeesha Suchith,20.0 L,30.0 L,20.0 L,20.0 L,0,10.0 L,10.0 L,10.0 L,0,sold,India,Bowler
14659.0,Ravi Bishnoi,4.0 Cr,2.0 Cr,2.0 Cr,0,0,0,0,0,0,drafted,India,Bowler
11404.0,Ishan Porel,25.0 L,20.0 L,20.0 L,0,0,0,0,0,0,sold,India,Bowler
8983.0,James Neesham,50.0 L,50.0 L,0,0,0,0,0,1.0 Cr,0,sold,New Zealand,Allrounder
8257.0,Karun Nair,50.0 L,5.60 Cr,5.60 Cr,5.60 Cr,4.0 Cr,4.0 Cr,75.0 L,75.0 L,0,sold,India,Batter
7909.0,Mohammed Shami,6.25 Cr,4.80 Cr,4.80 Cr,4.80 Cr,3.0 Cr,0,4.25 Cr,4.25 Cr,4.25 Cr,sold,India,Bowler
6319.0,Mandeep Singh,1.40 Cr,1.40 Cr,1.40 Cr,1.40 Cr,0,0,0,0,0,sold,India,Batter
6532.0,Chris Jordan,3.0 Cr,3.0 Cr,0,1.0 Cr,50.0 L,0,0,0,0,sold,England,Allrounder
14452.0,Harpreet Brar,3.80 Cr,20.0 L,20.0 L,20.0 L,0,0,0,0,0,sold,India,Bowler
8796.0,Murugan Ashwin,1.60 Cr,20.0 L,20.0 L,20.0 L,2.20 Cr,1.0 Cr,4.50 Cr,0,0,sold,India,Bowler
2195.0,Mayank Agarwal,12.0 Cr,1.0 Cr,1.0 Cr,1.0 Cr,1.0 Cr,1.60 Cr,1.60 Cr,1.60 Cr,1.60 Cr,retained,India,Batter
624.0,Eoin Morgan,5.25 Cr,5.25 Cr,0,0,2.0 Cr,1.50 Cr,1.50 Cr,0,0,unsold,England,Batter
8095.0,Pat Cummins,7.25 Cr,15.50 Cr,15.50 Cr,0,5.40 Cr,4.50 Cr,0,1.0 Cr,1.0 Cr,sold,Australia,Bowler
10162.0,Chris Green,0,0,0,0,0,0,0,0,0,unauctioned,Australia,Allrounder
8292.0,Kuldeep Yadav,2.0 Cr,5.80 Cr,5.80 Cr,5.80 Cr,5.80 Cr,40.0 L,40.0 L,40.0 L,40.0 L,sold,India,Bowler
12092.0,Kamlesh Nagarkoti,1.10 Cr,3.20 Cr,3.20 Cr,3.20 Cr,3.20 Cr,0,0,0,0,sold,India,Bowler
2276.0,Sunil Narine,6.0 Cr,12.50 Cr,12.50 Cr,12.50 Cr,12.50 Cr,9.50 Cr,9.50 Cr,9.50 Cr,9.50 Cr,retained,West Indies,Allrounder
9204.0,Nitish Rana,8.0 Cr,3.40 Cr,3.40 Cr,3.40 Cr,3.40 Cr,10.0 L,10.0 L,10.0 L,0,sold,India,Allrounder
8944.0,Sandeep Warrier,20.0 L,20.0 L,20.0 L,0,0,0,10.0 L,10.0 L,0,unsold,India,Bowler
11808.0,Shubman Gill,8.0 Cr,1.80 Cr,1.80 Cr,1.80 Cr,1.80 Cr,0,0,0,0,drafted,India,Batter
10896.0,Rinku Singh,80.0 L,80.0 L,80.0 L,80.0 L,10.0 L,0,0,0,0,sold,India,Batter
12926.0,Varun Chakravarthy,8.0 Cr,4.0 Cr,4.0 Cr,8.40 Cr,0,0,0,0,0,retained,India,Bowler
11450.0,Ali Khan,0,0,0,0,0,0,0,0,0,unauctioned,United States,Bowler
9012.0,Rahul Tripathi,8.50 Cr,60.0 L,60.0 L,3.40 Cr,3.40 Cr,10.0 L,0,0,0,sold,India,Batter
12345.0,Shivam Mavi,7.25 Cr,3.0 Cr,3.0 Cr,3.0 Cr,3.0 Cr,0,0,0,0,sold,India,Bowler
7736.0,Andre Russell,12.0 Cr,8.50 Cr,8.50 Cr,8.50 Cr,8.50 Cr,0,60.0 L,60.0 L,60.0 L,retained,West Indies,Allrounder
10551.0,Prasidh Krishna,10.0 Cr,20.0 L,20.0 L,20.0 L,20.0 L,0,0,0,0,sold,India,Bowler
9295.0,Nikhil Naik,0,0,0,0,0,0,0,0,0,unauctioned,India,WK-Batter
145.0,Dinesh Karthik,5.50 Cr,7.40 Cr,7.40 Cr,7.40 Cr,7.40 Cr,2.30 Cr,2.30 Cr,10.50 Cr,12.50 Cr,sold,India,WK-Batter
10692.0,Lockie Ferguson,10.0 Cr,1.60 Cr,1.60 Cr,1.60 Cr,0,50.0 L,0,0,0,sold,New Zealand,Bowler
576.0,Rohit Sharma,16.0 Cr,15.0 Cr,15.0 Cr,15.0 Cr,15.0 Cr,12.50 Cr,12.50 Cr,12.50 Cr,12.50 Cr,retained,India,Batter
8117.0,"
Trent Boult",8.0 Cr,2.20 Cr,2.20 Cr,2.20 Cr,2.20 Cr,5.0 Cr,3.80 Cr,3.80 Cr,0,sold,New Zealand,Bowler
12087.0,Rahul Chahar,5.25 Cr,1.90 Cr,1.90 Cr,1.90 Cr,1.90 Cr,10.0 L,0,0,0,sold,India,Bowler
8520.0,Quinton de Kock,6.75 Cr,2.80 Cr,2.80 Cr,2.80 Cr,2.80 Cr,3.50 Cr,3.50 Cr,3.50 Cr,3.50 Cr,sold,South Africa,WK-Batter
10276.0,Ishan Kishan,15.25 Cr,6.20 Cr,6.20 Cr,6.20 Cr,6.20 Cr,35.0 L,35.0 L,0,0,sold,India,WK-Batter
7752.0,Chris Lynn,2.0 Cr,2.0 Cr,9.60 Cr,9.60 Cr,1.30 Cr,1.30 Cr,1.30 Cr,1.30 Cr,0,unauctioned,Australia,Batter
