Players_id,2021_price,2020_price,2019_price,2018_price,2017_price,2016_price,2015_price,2014_price
7662,14.25 Cr,10.75 Cr,--,9.0 Cr,6.0 Cr,6.0 Cr,6.0 Cr,6.0 Cr
10808,2.60 Cr,2.60 Cr,2.60 Cr,2.60 Cr,2.60 Cr,--,--,--
8271,8.0 Cr,8.0 Cr,8.0 Cr,8.0 Cr,4.20 Cr,4.20 Cr,4.0 Cr,4.0 Cr
2258,4.40 Cr,4.40 Cr,4.40 Cr,4.40 Cr,3.80 Cr,3.80 Cr,--,--
13940,2.40 Cr,2.40 Cr,--,--,--,--,--,--
13217,20.0 L,20.0 L,20.0 L,--,--,--,--,--
2195,1.0 Cr,1.0 Cr,1.0 Cr,1.0 Cr,1.60 Cr,1.60 Cr,1.60 Cr,1.60 Cr
9647,11.0 Cr,11.0 Cr,11.0 Cr,11.0 Cr,10.0 L,10.0 L,10.0 L,--
10738,9.0 Cr,9.0 Cr,9.0 Cr,9.0 Cr,4.0 Cr,--,--,--
11808,1.80 Cr,1.80 Cr,1.80 Cr,1.80 Cr,--,--,--,--
8733,11.0 Cr,11.0 Cr,11.0 Cr,11.0 Cr,--,1.0 Cr,1.0 Cr,1.0 Cr
8989,4.80 Cr,4.80 Cr,6.20 Cr,6.20 Cr,55.0 L,55.0 L,--,--
14659,2.0 Cr,2.0 Cr,--,--,--,--,--,--
